bridgeName,lon,lat
大塭寮排水6號橋,120.18406,23.103995
無名橋(N12-730),120.27284,23.285975
中周寮排水二號橋,120.22474,23.127955
澄山一號橋,120.39861,23.04471
無名橋(賴姓民宅旁),120.32131,23.185075
新生一號橋,120.068515,23.06854
無名橋(N3-730),120.316015,23.308055
楠仔埔橋,120.40699,23.04739
南邑慈恩第九號橋(下埔橋),120.417575,23.036985
北門橋-727,120.12003,23.264865
無名橋(V20-730),120.334225,23.322955
劉厝排水2號橋,120.20378,23.13853
劉厝分線水圳1號橋,120.20737,23.15446
南海埔分線水圳1號橋,120.1935,23.1138
忠義公橋,120.2874,23.3157
無名橋(04-721),120.204805,23.190665
內庄橋,120.417365,23.05151
長興橋N4,120.19508,23.195065
北勢坑橋,120.39549,23.02517
岡林橋(新),120.41624,23.0164
東邊寮橋,120.2401,23.21269
仁愛橋-720,120.33071,23.167455
下宅子排水1號橋,120.192885,23.15863
牛港嶺一號橋,120.406545,23.06018
南海埔分線水圳2號橋,120.18995,23.1166
劉厝排水7號橋,120.17426,23.13059
新營陸橋4,120.328215,23.312795
南海埔分線水圳5號橋,120.1801,23.11925
施寮排水5號橋,120.20789,23.15
鹽豐橋,120.0916,23.19345
南海南橋,120.19569,23.11392
水流東橋,120.415615,23.03293
港墘橋,120.155775,23.13476
大塭寮排水3號橋,120.194915,23.106935
劉厝排水一號橋,120.20635,23.14175
山豹橋,120.39836,23.01574
施寮排水6號橋,120.211735,23.140725
無名橋(V10-730),120.32139,23.312585
大塭寮排水10號橋,120.17291,23.101325
後營排水5號橋,120.23376,23.14015
玉山橋,120.41332,23.020555
大塭寮排水1號橋,120.200865,23.109265
無名橋(匯記場旁),120.3366,23.196475
無名橋(V19-730),120.333665,23.32286
客子寮橋,120.21689,23.216465
竹林排水1號橋,120.19643,23.12153
西港線水圳13號橋,120.1809,23.111235
大塭寮排水7號橋,120.181185,23.104375
劉厝排水3號橋,120.19947,23.135175
農場水利橋,120.31364,23.183105
慶安橋(原劉厝排水4號橋),120.18867,23.130445
三結義橋,120.31523,23.21241
雙春一號橋,120.119555,23.299405
無名橋(V18-730),120.33333,23.32284
無名橋(64-720),120.320275,23.184955
無名橋(V12-730),120.31756,23.322975
澄山橋,120.383455,23.036375
永衡橋,120.11945,23.272
無名橋(N1-722),120.164765,23.126365
龍安橋,120.16726,23.133205
無名橋(V9-730),120.321215,23.314415
劉厝橋,120.17985,23.130505
舊社橋,120.361545,23.182915
南海埔分線水圳3號橋,120.188695,23.11743
無名橋(06-721),120.216915,23.221635
中寮橋A,120.10898,23.16764
西港排水4號橋,120.201715,23.1265
西港線水圳6號橋,120.21,23.12785
中周寮排水四號橋,120.22365,23.1239
溪南堤防排水3號橋,120.18874,23.09486
中州橋,120.19121,23.123055
新化橋,120.40215,23.05535
無名橋(N3-722),120.208135,23.18375
大塭寮排水9號橋,120.17692,23.102985
金砂橋,120.21061,23.156875
牛稠橋-720,120.372115,23.17538
草山三號橋,120.43552,23.002865
中周寮排水1號橋,120.2097,23.13202
劉厝分線水圳5號橋,120.184195,23.13896
牛港嶺二號橋,120.406045,23.06046
無名橋(56-720),120.32944,23.17902
施寮排水1號橋,120.209485,23.148655
無名橋(55-720),120.32125,23.1808
西港排水1號橋,120.20594,23.12724
後營排水1號橋,120.22201,23.15133
無名橋(N2-717),120.239215,22.93791
溪埔寮排水2號橋,120.18938,23.088755
施寮排水4號橋,120.210785,23.14402
下宅子排水4號橋,120.19632,23.150405
施寮排水2號橋,120.20998,23.146795
六雙橋,120.36424,23.172255
西港排水2號橋,120.204755,23.12705
鹽水坑二號橋,120.449055,23.001095
正德橋,120.092045,23.185395
太西橋,120.22835,23.1444
南海埔分線水圳4號橋,120.18565,23.11776
龍眼宅橋,120.483065,23.03424
後營排水4號橋,120.23319,23.140315
二重港橋,120.254435,23.202915
營北橋,120.216635,23.152205
苦苓腳橋,120.475495,23.03024
三角潭橋,120.431235,23.04209
重信橋,120.09361,23.15221
西港排水7號橋,120.190365,23.12586
三樂排水1號橋,120.201785,23.119155
草山七號橋,120.43448,22.98826
太西分線水圳2號橋,120.227615,23.14061
坑內大潭橋,120.48819,23.110505
中寮橋B,120.10788,23.149405
小埤頭橋,120.2295,23.19905
下幹排水1號橋,120.2084,23.11814
八葛橋,120.345265,23.17436
佳通橋,120.164185,23.14882
龍湖橋,120.271565,23.190605
新埔橋,120.3299,22.97135
下宅子排水2號橋,120.194455,23.15508
水圳橋-721,120.282805,23.195145
西港線水圳9號橋,120.19959,23.117285
下宅子排水5號橋,120.18851,23.14806
鎮安橋,120.1502,23.16922
草山四號橋,120.436815,22.99922
